location,cases,density_per_km
Colombia-Bolivar-Norosi,119,20.50104141
Colombia-Bolivar-Pinillos,240,769.6694336
Colombia-Bolivar-Regidor,36,40.18206024
Colombia-Bolivar-Rio_Viejo,106,20.50104141
Colombia-Bolivar-San_Cristobal,124,169.1943817
Colombia-Bolivar-San_Estanislao,88,83.22530365
Colombia-Bolivar-San_Fernando,42,53.17511749
Colombia-Bolivar-San_Jacinto,1119,42.4057312
Colombia-Bolivar-San_Jacinto_Del_Cauca,71,40.66033936
Colombia-Bolivar-San_Juan_Nepomuceno,2106,53.32006073
Colombia-Bolivar-San_Martin_De_Loba,37,41.11000824
Colombia-Bolivar-San_Pablo,94,26.24014473
Colombia-Bolivar-Santa_Catalina,40,277.5603027
Colombia-Bolivar-Santa_Rosa,218,158.7386932
Colombia-Bolivar-Santa_Rosa_Del_Sur,1369,25.19230652
Colombia-Bolivar-Simiti,21,13.61266899
Colombia-Bolivar-Soplaviento,45,145.0684052
Colombia-Bolivar-Talaigua_Nuevo,77,62.86188507
Colombia-Bolivar-Tiquisio,137,430.5773926
Colombia-Bolivar-Turbaco,11600,600.6116943
Colombia-Bolivar-Turbana,412,120.3694382
Colombia-Bolivar-Unknown,1390,70.99121857
Colombia-Bolivar-Villanueva,626,112.987854
Colombia-Bolivar-Zambrano,0,44.17820358
Colombia-Boli­var,105,70.99121857
Colombia-Boyaca,1973,112.8511429
Colombia-Boyaca-Almeida,0,21.24503326
Colombia-Boyaca-Aquitania,0,19.17260742
Colombia-Boyaca-Arcabuco,0,41.81311035
Colombia-Boyaca-Belen,19,8364.980469
Colombia-Boyaca-Berbeo,0,31.95074081
Colombia-Boyaca-Beteitiva,39,20.47737694
Colombia-Boyaca-Boavita,180,33.89521408
Colombia-Boyaca-Boyaca,62,112.8511429
Colombia-Boyaca-Briceno,0,50.83168411
Colombia-Boyaca-Buenavista,33,57.58235168
Colombia-Boyaca-Busbanza,0,54.47351456
Colombia-Boyaca-Caldas,0,8.757612228
Colombia-Boyaca-Campohermoso,107,12.79911232
Colombia-Boyaca-Cerinza,0,55.99453735
Colombia-Boyaca-Chinavita,0,29.28766251
Colombia-Boyaca-Chiquinquira,42,479.3590088
Colombia-Boyaca-Chiquiza,0,43.80235672
Colombia-Boyaca-Chiscas,0,6.829509258
Colombia-Boyaca-Chita,0,10.64274788
Colombia-Boyaca-Chitaraque,227,38.51102448
Colombia-Boyaca-Chivata,0,155.3254395
Colombia-Boyaca-Chivor,0,11.93959999
Colombia-Boyaca-Cienega,3,98.46766663
Colombia-Boyaca-Combita,0,113.1945343
Colombia-Boyaca-Coper,47,21.51335144
Colombia-Boyaca-Corrales,0,38.94173813
